rowID,stamp,datetime,hum
460000,1497825662, 18/6/2017 22:33:481,63.8
460998,1497825663, 18/6/2017 22:33:482,63.8
462000,1497825664, 18/6/2017 22:33:483,63.9
462999,1497825665, 18/6/2017 22:33:484,63.9
464000,1497825666, 18/6/2017 22:33:485,63.8
464999,1497825667, 18/6/2017 22:33:486,63.8
465998,1497825668, 18/6/2017 22:33:487,63.8
466999,1497825669, 18/6/2017 22:33:488,63.9
467999,1497825670, 18/6/2017 22:33:489,63.9
468999,1497825671, 18/6/2017 22:33:490,64
469999,1497825672, 18/6/2017 22:33:491,64
470999,1497825673, 18/6/2017 22:33:492,63.9
471999,1497825674, 18/6/2017 22:33:493,63.9
472999,1497825675, 18/6/2017 22:33:494,63.9
474000,1497825676, 18/6/2017 22:33:495,63.9
474998,1497825677, 18/6/2017 22:33:496,63.9
476000,1497825678, 18/6/2017 22:33:497,63.9
476999,1497825679, 18/6/2017 22:33:498,63.9
477999,1497825680, 18/6/2017 22:33:499,63.9
478999,1497825681, 18/6/2017 22:33:500,63.9
479998,1497825682, 18/6/2017 22:33:501,63.9
480999,1497825683, 18/6/2017 22:33:502,63.9
481999,1497825684, 18/6/2017 22:33:503,63.9
483000,1497825685, 18/6/2017 22:33:504,63.9
483999,1497825686, 18/6/2017 22:33:505,63.9
484999,1497825687, 18/6/2017 22:33:506,63.9
485998,1497825688, 18/6/2017 22:33:507,63.9
487000,1497825689, 18/6/2017 22:33:508,63.9
487999,1497825690, 18/6/2017 22:33:509,63.9
488999,1497825691, 18/6/2017 22:33:510,63.9
490000,1497825692, 18/6/2017 22:33:511,63.9
490998,1497825693, 18/6/2017 22:33:512,63.9
492000,1497825694, 18/6/2017 22:33:513,64
492999,1497825695, 18/6/2017 22:33:514,64
493999,1497825696, 18/6/2017 22:33:515,64
494999,1497825697, 18/6/2017 22:33:516,64
496000,1497825698, 18/6/2017 22:33:517,64
496999,1497825699, 18/6/2017 22:33:518,64
497999,1497825700, 18/6/2017 22:33:519,64
499000,1497825701, 18/6/2017 22:33:520,64
499999,1497825702, 18/6/2017 22:33:521,64
500999,1497825703, 18/6/2017 22:33:522,64
501999,1497825704, 18/6/2017 22:33:523,64
502999,1497825705, 18/6/2017 22:33:524,64
503999,1497825706, 18/6/2017 22:33:525,64
504998,1497825707, 18/6/2017 22:33:526,64
506000,1497825708, 18/6/2017 22:33:527,64.1
506999,1497825709, 18/6/2017 22:33:528,64.1
508000,1497825710, 18/6/2017 22:33:529,64.1
508999,1497825711, 18/6/2017 22:33:530,64.1
509999,1497825712, 18/6/2017 22:33:531,64.1
511000,1497825713, 18/6/2017 22:33:532,64.1
511998,1497825714, 18/6/2017 22:33:533,64.1
512999,1497825715, 18/6/2017 22:33:534,64.1
513999,1497825716, 18/6/2017 22:33:535,64.1
514999,1497825717, 18/6/2017 22:33:536,64.1
515999,1497825718, 18/6/2017 22:33:537,64.1
516999,1497825719, 18/6/2017 22:33:538,64.1
517998,1497825720, 18/6/2017 22:33:539,64.1
519000,1497825721, 18/6/2017 22:33:540,64.1
519999,1497825722, 18/6/2017 22:33:541,64.1
520999,1497825723, 18/6/2017 22:33:542,64.2
521999,1497825724, 18/6/2017 22:33:543,64.2
522998,1497825725, 18/6/2017 22:33:544,64.2
523999,1497825726, 18/6/2017 22:33:545,64.2
524999,1497825727, 18/6/2017 22:33:546,64.2
525999,1497825728, 18/6/2017 22:33:547,64.2
526999,1497825729, 18/6/2017 22:33:548,64.2
528000,1497825730, 18/6/2017 22:33:549,64.2
529000,1497825731, 18/6/2017 22:33:550,64.2
529999,1497825732, 18/6/2017 22:33:551,64.2
530999,1497825733, 18/6/2017 22:33:552,64.2
531999,1497825734, 18/6/2017 22:33:553,64.2
532999,1497825735, 18/6/2017 22:33:554,64.2
533999,1497825736, 18/6/2017 22:33:555,64.2
534999,1497825737, 18/6/2017 22:33:556,64.2
536000,1497825738, 18/6/2017 22:33:557,64.2
536998,1497825739, 18/6/2017 22:33:558,64.2
537999,1497825740, 18/6/2017 22:33:559,64.2
